datetime	Unnamed: 0	Unnamed: 0.1	city	country	nb_detected
21-03-2020_04-49-32_PM	325.0	0.0	Goteborg	Sweden	0
21-03-2020_04-49-35_PM	326.0	0.0	Goteborg	Sweden	0
21-03-2020_04-49-38_PM	327.0	0.0	Goteborg	Sweden	0
21-03-2020_04-49-42_PM	328.0	0.0	Goteborg	Sweden	4
21-03-2020_04-49-45_PM	329.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-51-05_PM	330.0	0.0	Stockholm	Sweden	12
21-03-2020_04-51-09_PM	331.0	0.0	Stockholm	Sweden	0
21-03-2020_04-51-11_PM	332.0	0.0	Stockholm	Sweden	0
21-03-2020_04-51-14_PM	333.0	0.0	Stockholm	Sweden	0
21-03-2020_04-51-17_PM	334.0	0.0	Goteborg	Sweden	3
21-03-2020_04-51-20_PM	335.0	0.0	Goteborg	Sweden	6
21-03-2020_04-51-24_PM	336.0	0.0	Goteborg	Sweden	2
21-03-2020_04-51-28_PM	337.0	0.0	Goteborg	Sweden	4
21-03-2020_04-51-31_PM	338.0	0.0	Goteborg	Sweden	3
21-03-2020_04-51-34_PM	339.0	0.0	Goteborg	Sweden	2
21-03-2020_04-51-38_PM	340.0	0.0	Goteborg	Sweden	4
21-03-2020_04-51-42_PM	341.0	0.0	Goteborg	Sweden	0
21-03-2020_04-51-45_PM	342.0	0.0	Goteborg	Sweden	1
21-03-2020_04-51-48_PM	343.0	0.0	Goteborg	Sweden	1
21-03-2020_04-51-51_PM	344.0	0.0	Goteborg	Sweden	0
21-03-2020_04-51-55_PM	345.0	0.0	Goteborg	Sweden	0
21-03-2020_04-51-59_PM	346.0	0.0	Goteborg	Sweden	0
21-03-2020_04-52-02_PM	347.0	0.0	Goteborg	Sweden	0
21-03-2020_04-52-06_PM	348.0	0.0	Goteborg	Sweden	0
21-03-2020_04-52-10_PM	349.0	0.0	Goteborg	Sweden	1
21-03-2020_04-52-13_PM	350.0	0.0	Goteborg	Sweden	0
21-03-2020_04-52-17_PM	351.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-54-04_PM	352.0	0.0	Stockholm	Sweden	4
21-03-2020_04-54-08_PM	353.0	0.0	Stockholm	Sweden	0
21-03-2020_04-54-11_PM	354.0	0.0	Stockholm	Sweden	0
21-03-2020_04-54-14_PM	355.0	0.0	Stockholm	Sweden	0
21-03-2020_04-54-17_PM	356.0	0.0	Goteborg	Sweden	0
21-03-2020_04-54-19_PM	357.0	0.0	Goteborg	Sweden	8
21-03-2020_04-54-22_PM	358.0	0.0	Goteborg	Sweden	0
21-03-2020_04-54-25_PM	359.0	0.0	Goteborg	Sweden	3
21-03-2020_04-54-28_PM	360.0	0.0	Goteborg	Sweden	0
21-03-2020_04-54-31_PM	361.0	0.0	Goteborg	Sweden	1
21-03-2020_04-54-34_PM	362.0	0.0	Goteborg	Sweden	3
21-03-2020_04-54-37_PM	363.0	0.0	Goteborg	Sweden	0
21-03-2020_04-54-40_PM	364.0	0.0	Goteborg	Sweden	0
21-03-2020_04-54-43_PM	365.0	0.0	Goteborg	Sweden	9
21-03-2020_04-54-46_PM	366.0	0.0	Goteborg	Sweden	0
21-03-2020_04-54-49_PM	367.0	0.0	Goteborg	Sweden	1
